,car_name,registration_year,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),price(in lakhs)
55,2018 Hyundai Creta 1.6 SX Automatic Diesel,18-Jun,Diesel,5,65400,First Owner,Automatic,17.6,10.9
56,2017 Honda Amaze S i-VTEC,2017,Petrol,5,100000,First Owner,Manual,17.8,3.95
57,2022 Tata Tiago XZ Plus CNG BSVI,22-Aug,CNG,5,30000,First Owner,Manual,26.49,7.25
58,2017 Honda Jazz 1.5 E i DTEC,17-Jun,Diesel,5,62000,First Owner,Manual,1498,4.75
59,2010 Volkswagen Beetle 2.0,10-May,Petrol,4,40000,First Owner,Automatic,10.98,11.95
60,2023 Honda City ZX CVT,23-Mar,Petrol,5,10280,First Owner,Automatic,18.4,16
61,2015 Maruti Baleno 1.2 Alpha,15-Nov,Petrol,5,17282,First Owner,Manual,21.4,5.45
62,2019 Honda CR-V 2.0 CVT,19-Aug,Petrol,5,30500,First Owner,Automatic,14.4,22.95
63,2020 Kia Seltos HTX Plus Diesel,20-Sep,Diesel,5,60755,First Owner,Manual,20.8,13.51
64,2021 Mercedes-Benz C-Class Progressive C 200,21-Jul,Petrol,5,25000,Second Owner,Automatic,11.9,40.75
65,2018 Mahindra Scorpio S11,18-Aug,Diesel,7,47000,First Owner,Manual,15.4,14.5
66,2020 Kia Seltos GTX DCT,20-Jun,Petrol,5,59316,First Owner,Automatic,16.2,13.99
67,2021 Toyota Yaris J BSIV,21-Apr,Petrol,5,48000,Third Owner,Manual,17.1,6.95
68,2023 BMW 5 Series 530i M Sport BSVI,23-Nov,Petrol,5,20000,First Owner,Automatic,14.82,65
69,2020 Renault KWID Climber 1.0 AMT Opt,20-Dec,Petrol,5,12503,First Owner,Automatic,22,5.15
70,2021 Jeep Compass 1.4 Sport BSVI,21-Jun,Petrol,5,10000,First Owner,Manual,14.3,15.95
71,2011 Maruti Swift 1.2 VXi BSII,11-May,Petrol,5,73717,Second Owner,Manual,16.1,2.41
